Date,Open,High,Low,Close,Adj Close,Volume
2014-08-11,23.8174991607666,24.020000457763672,23.709999084472656,23.997499465942383,21.332216262817383,146340000
2014-08-12,24.010000228881836,24.219999313354492,23.90250015258789,23.99250030517578,21.327774047851562,135180000
2014-08-13,24.037500381469727,24.309999465942383,24.010000228881836,24.309999465942383,21.610010147094727,127664000
2014-08-14,24.332500457763672,24.392499923706055,24.200000762939453,24.375,21.66778564453125,112464000
2014-08-15,24.475000381469727,24.547500610351562,24.21500015258789,24.4950008392334,21.774465560913086,195804000
2014-08-18,24.622499465942383,24.842500686645508,24.4950008392334,24.790000915527344,22.036693572998047,190288000
2014-08-19,24.852500915527344,25.170000076293945,24.829999923706055,25.13249969482422,22.341144561767578,277596000
2014-08-20,25.110000610351562,25.272499084472656,24.987499237060547,25.142499923706055,22.350046157836914,210796000
2014-08-21,25.142499923706055,25.235000610351562,25.02750015258789,25.145000457763672,22.352266311645508,133912000
2014-08-22,25.072500228881836,25.36750030517578,25.047500610351562,25.329999923706055,22.516725540161133,176736000
2014-08-25,25.447500228881836,25.542499542236328,25.31999969482422,25.385000228881836,22.565614700317383,161080000
2014-08-26,25.354999542236328,25.375,25.21500015258789,25.22249984741211,22.421161651611328,132608000
2014-08-27,25.2549991607666,25.642499923706055,25.174999237060547,25.532499313354492,22.696727752685547,209476000
2014-08-28,25.397499084472656,25.69499969482422,25.389999389648438,25.5625,22.72339630126953,273840000
2014-08-29,25.71500015258789,25.725000381469727,25.549999237060547,25.625,22.77896499633789,178380000
2014-09-02,25.764999389648438,25.934999465942383,25.68000030517578,25.825000762939453,22.956745147705078,214256000
2014-09-03,25.774999618530273,25.799999237060547,24.645000457763672,24.735000610351562,21.987804412841797,501684000
2014-09-04,24.712499618530273,25.022499084472656,24.447500228881836,24.530000686645508,21.805574417114258,342872000
2014-09-05,24.700000762939453,24.84749984741211,24.577499389648438,24.74250030517578,21.994468688964844,233828000
2014-09-08,24.825000762939453,24.827499389648438,24.512500762939453,24.59000015258789,21.858909606933594,185426800
2014-09-09,24.770000457763672,25.770000457763672,24.03499984741211,24.497499465942383,21.776681900024414,759385200
2014-09-10,24.502500534057617,25.27750015258789,24.440000534057617,25.25,22.445608139038086,403478400
2014-09-11,25.102500915527344,25.360000610351562,24.905000686645508,25.357500076293945,22.541170120239258,249412400
2014-09-12,25.302499771118164,25.547500610351562,25.270000457763672,25.415000915527344,22.592283248901367,250504400
2014-09-15,25.702499389648438,25.762500762939453,25.360000610351562,25.407499313354492,22.58561134338379,245266000
2014-09-16,24.950000762939453,25.315000534057617,24.72249984741211,25.21500015258789,22.414499282836914,267632400
2014-09-17,25.3174991607666,25.450000762939453,25.147499084472656,25.395000457763672,22.574506759643555,243706000
2014-09-18,25.482500076293945,25.587499618530273,25.389999389648438,25.447500228881836,22.621170043945312,149197600
2014-09-19,25.572500228881836,25.587499618530273,25.125,25.239999771118164,22.43671417236328,283609600
2014-09-22,25.450000762939453,25.53499984741211,25.145000457763672,25.264999389648438,22.458946228027344,211153600
2014-09-23,25.149999618530273,25.735000610351562,25.135000228881836,25.65999984741211,22.810075759887695,253608800
2014-09-24,25.540000915527344,25.712499618530273,25.299999237060547,25.4375,22.61228370666504,240687200
2014-09-25,25.127500534057617,25.177499771118164,24.43000030517578,24.467500686645508,21.75002098083496,400368000
2014-09-26,24.63249969482422,25.1875,24.600000381469727,25.1875,22.390050888061523,249482000
2014-09-29,24.662500381469727,25.110000610351562,24.657499313354492,25.02750015258789,22.247819900512695,199065200
2014-09-30,25.202499389648438,25.385000228881836,25.13249969482422,25.1875,22.390050888061523,221056400
2014-10-01,25.147499084472656,25.172500610351562,24.674999237060547,24.795000076293945,22.041147232055664,205965200
2014-10-02,24.8174991607666,25.05500030517578,24.510000228881836,24.975000381469727,22.201152801513672,191031200
